Symbol
AAPL
ABBV
ABT
ADBE
ADP
AEE
AEP
AFL
AIG
AIZ
ALK
ALLE
AMAT
AMCR
AMD
AMGN
AMZN
ANET
ANSS
AON
APD
APTV
ARE
ATO
AVB
AVGO
AWK
AXP
AZO
BA
BAC
BALL
BAX
BBY
BDX
BEN
BF.B
BG
BIIB
BIO
BKNG
BKR
BLDR
BLK
BR
BRK.B
BRO
BSX
BWA
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCL
CDNS
CE
CF
CFG
CHD
CHRW
CHTR
CINF
CL
CLX
CMA
CMCSA
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COR
COST
CPB
CPRT
CPT
CRL
CRM
CSCO
CSX
CTAS
CTLT
CTRA
CTS
CVS
CVX
D
DAL
DAY
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DLR
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DVA
DVN
DXC
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQT
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FHN
FIS
FITB
FMC
FOX
FOXA
FRT
FTNT
FTV
GD
GE
GILD
GOOGL
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HOLX
HON
HPE
HRL
HSIC
HST
HSY
HUBB
HUM
IBM
ICE
IDXX
IEX
IFF
INCY
INTC
INTU
IP
IPG
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JKHY
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
L
LDOS
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNT
LOW
LRCX
LUV
LVS
LW
LYB
LYV
M
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MRNA
MS
MSCI
MSFT
MSI
MSTR
MTB
MTCH
MTD
MU
NCLH
NDAQ
NEE
NEM
NFLX
NI
NKE
NOC
NOV
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OXY
PARA
PAYX
PCAR
PCG
PEAK
PEG
PENN
PEP
PFE
PFG
PG
PGR
PH
PHM
PII
PKG
PLD
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRGO
PRU
PSA
PSX
PTC
PVH
PWR
PXD
PYPL
QCOM
QRVO
RCL
RE
REG
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
SBAC
SBUX
SCHW
SEE
SHW
SJM
SLB
SNA
SNPS
SO
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYK
SYY
T
TAP
TEL
TER
TFC
TFX
TGT
TJX
TMO
TMUS
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTWO
TWLO
TXN
TXT
UAL
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VFC
VICI
VLO
VMC
VRSK
VRSN
VRTX
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WRK
WST
WU
WY
WYNN
XEL
XOM
XYL
YUM
ZBRA
ZION
ZTS
